metric/train_loss,metric/train_ppl,samples,step,throughput/batches_per_sec,throughput/device/batches_per_sec,throughput/device/flops_per_sec,throughput/device/mfu,throughput/device/samples_per_sec,throughput/device/tokens_per_sec,throughput/flops_per_sec,throughput/samples_per_sec,throughput/tokens_per_sec,time/total,time/train,time/val,total_tokens
2.1796151757240296,8.842902640259366,540,16,8.592417560087174,1.4320695933478622,0.0,0.0,1.4320695933478622,2932.878527176422,0.0,8.592417560087174,17597.271163058533,380.4438059143722,380.4438059143722,0.0,6635520.0
2.2191580653190615,9.199582157118435,570,17,8.62073100408128,1.4367885006802132,0.0,0.0,1.4367885006802132,2942.5428493930767,0.0,8.62073100408128,17655.257096358462,401.5812082532793,401.5812082532793,0.0,7004160.0
2.0702792912721635,7.927036760890943,600,18,8.611068104971704,1.435178017495284,0.0,0.0,1.435178017495284,2939.2445798303415,0.0,8.611068104971704,17635.46747898205,422.576792024076,422.576792024076,0.0,7372800.0
2.2542851626873017,9.528479562351874,630,19,8.606695132393702,1.4344491887322837,0.0,0.0,1.4344491887322837,2937.751938523717,0.0,8.606695132393702,17626.5116311423,443.5815601181239,443.5815601181239,0.0,7741440.0
1.122531071305275,3.0726213933311293,670,20,8.630812744927049,1.4384687908211748,0.0,0.0,1.4384687908211748,2945.984083601766,0.0,8.630812744927049,17675.904501610596,471.5508601684123,471.5508601684123,0.0,8232960.0
2.031976816058159,7.629152893940124,700,21,8.585829535182638,1.4309715891971064,0.0,0.0,1.4309715891971064,2930.629814675674,0.0,8.585829535182638,17583.778888054043,492.52451492473483,492.52451492473483,0.0,8601600.0
1.5698401600122451,4.80587996058557,730,22,8.586583603331741,1.431097267221957,0.0,0.0,1.431097267221957,2930.887203270568,0.0,8.586583603331741,17585.323219623406,513.5287993811071,513.5287993811071,0.0,8970240.0
0.8246057152748107,2.280981231946621,760,23,8.624949598884845,1.4374915998141409,0.0,0.0,1.4374915998141409,2943.9827964193605,0.0,8.624949598884845,17663.896778516162,534.5050173401833,534.5050173401833,0.0,9338880.0
2.526197922229767,12.50586735062027,790,24,8.579770321135651,1.4299617201892751,0.0,0.0,1.4299617201892751,2928.5616029476355,0.0,8.579770321135651,17571.369617685814,555.497649313882,555.497649313882,0.0,9707520.0
1.0746871739625932,2.929076465814792,830,25,8.615041741261505,1.435840290210251,0.0,0.0,1.435840290210251,2940.600914350594,0.0,8.615041741261505,17643.605486103563,583.4417678099126,583.4417678099126,0.0,10199040.0
2.744244545698166,15.552860017964655,860,26,8.602074229112823,1.4336790381854705,0.0,0.0,1.4336790381854705,2936.1746702038436,0.0,8.602074229112823,17617.04802122306,604.7731449212879,604.7731449212879,0.0,10567680.0
2.4977235972881315,12.1547932393747,890,27,8.621220172368389,1.4368700287280647,0.0,0.0,1.4368700287280647,2942.7098188350765,0.0,8.621220172368389,17656.25891301046,625.9252080917358,625.9252080917358,0.0,10936320.0
